Exercise,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating  ,Grip
Single Arm Dumbbell Single Leg Contralateral Bent Over Row,Intermediate,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell,Single Leg Standing,Single Arm,Continuous,Neutral
Double Dumbbell Single Leg Bent Over Row,Intermediate,Back,Latissimus Dorsi,Rhomboids,Posterior Deltoids,Dumbbell,Single Leg Standing,Double Arm,Continuous,Neutral
Single Arm Kettlebell Bottoms Up Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Kettlebell,Standing,Single Arm,Continuous,Bottoms Up
Alternating Double Kettlebell Bottoms Up Thruster,Intermediate,Quadriceps,Quadriceps Femoris,Anterior Deltoids,,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up
Single Arm Kettlebell Dead Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Kettlebell,Standing,Single Arm,Continuous,Neutral
Alternating Single Arm Kettlebell Dead Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Kettlebell,Standing,Single Arm,Alternating,Neutral
Single Arm Dumbbell Bird Dog Row,Intermediate,Back,Latissimus Dorsi,Rectus Abdominis,Gluteus Maximus,Dumbbell,Quadruped,Single Arm,Continuous,Neutral
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill,Advanced,Abdominals,Obliques,Rectus Abdominis,Anterior Deltoids,Kettlebell,Half Kneeling,Single Arm,Continuous,Bottoms Up
Alternating Single Arm Kettlebell Half Kneeling Around the World High Catch,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,Half Kneeling,Single Arm,Alternating,Pronated
Double Dumbbell Renegade Row ,Intermediate,Back,Latissimus Dorsi,,,Dumbbell,Prone,Double Arm,Alternating,Neutral
Single Arm Barbell Overhead Toe Balance Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Toe Balance,Single Arm,Continuous,Pronated
Barbell Overhead Toe Balance Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,Toe Balance,Double Arm,Continuous,Pronated
Ring Kneeling Rollout,Intermediate,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Gymnastic Rings,Kneeling,Double Arm,Continuous,Pronated
Single Arm Ring Kneeling Rollout,Advanced,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Gymnastic Rings,Kneeling,Single Arm,Continuous,Pronated
Ring Standing Rollout,Advanced,Abdominals,Rectus Abdominis,Latissimus Dorsi,Serratus Anterior,Gymnastic Rings,Standing,Double Arm,Continuous,Pronated
Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,Standing,Single Arm,Continuous,Neutral
Alternating Single Arm Landmine Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,Standing,Single Arm,Alternating,Neutral
Single Arm Kettlebell Bent Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Single Arm,Continuous,Pronated
Alternating Single Arm Kettlebell Around the World High Catch to Squat,Intermediate,Abdominals,Rectus Abdominis,Quadriceps Femoris,,Kettlebell,Standing,Single Arm,Alternating,Pronated
Double Kettlebell Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Front Rack Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Front Rack Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,Standing,Double Arm,Continuous,Neutral
Alternating Single Arm Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up
Double Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up
Double Kettlebell Bottoms Up Overhead Knee Over Toe Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Soleus,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Bottoms Up
Single Arm Landmine Half Kneeling Contralateral Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,Half Kneeling,Single Arm,Continuous,Neutral
Bodyweight Bulgarian Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,Single Leg Supported,No Arms,Continuous,No Grip
Plate Otis Up,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Weight Plate,Supine,Double Arm,Continuous,Neutral
Double Kettlebell Overhead Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Single Leg Standing,Double Arm,Continuous,Pronated
Double Kettlebell Bottoms Up Front Rack Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Single Leg Standing,Double Arm,Continuous,Bottoms Up
Double Kettlebell Bottoms Up Overhead Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Single Leg Standing,Double Arm,Continuous,Bottoms Up
Double Kettlebell Clean to Sots Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Double Kettlebell Bottoms Up Clean to Sots Press,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up
Single Arm Landmine Tall Kneeling Shoulder Press,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,Tall Kneeling,Single Arm,Continuous,Neutral
Single Arm Landmine Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Landmine,Seated Floor,Single Arm,Continuous,Neutral
Barbell Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Barbell,Seated Floor,Double Arm,Continuous,Pronated
Single Arm Suspension Bicep Curl,Intermediate,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Suspension Trainer,Standing,Single Arm,Continuous,Supinated
Suspension Atomic Push Up,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Suspension Trainer,Prone,Double Arm,Continuous,Flat Palm
Parallette Feet Elevated Close Grip Push Up,Intermediate,Triceps,Triceps Brachii,Pectoralis Major,,Parallette Bars,Prone,Double Arm,Continuous,Pronated
Double Kettlebell Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Bodyweight Archer Push Up,Intermediate,Chest,Pectoralis Major,,,Bodyweight,Prone,Double Arm,Alternating,Flat Palm
Parallette Archer Push Up,Intermediate,Chest,Pectoralis Major,,,Parallette Bars,Prone,Double Arm,Alternating,Neutral
Single Arm Suspension Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Suspension Trainer,Standing,Single Arm,Continuous,Pronated
Ring Skin the Cat,Intermediate,Back,Latissimus Dorsi,Rectus Abdominis,Teres Major,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Double Kettlebell Bottoms Up Overhead Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Double Arm,Continuous,Bottoms Up
Single Arm Kettlebell Bottoms Up Overhead Contralateral Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Single Arm,Continuous,Neutral
Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Single Arm,Continuous,Neutral
Double Kettlebell Bottoms Up Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Double Arm,Continuous,Bottoms Up
Double Kettlebell Suitcase Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Double Arm,Continuous,Neutral
Double Kettlebell Bulgarian Split Squat Thruster ,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Single Leg Supported,Double Arm,Continuous,Pronated
Double Kettlebell Bottoms Up Bulgarian Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Single Leg Supported,Double Arm,Continuous,Bottoms Up
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Single Arm,Continuous,Bottoms Up
Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Single Arm,Continuous,Neutral
Ring Feet Elevated Row,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,Supine,Double Arm,Continuous,Neutral
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Single Arm,Continuous,Bottoms Up
Ring Feet Elevated Bulgarian Row,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,Supine,Double Arm,Continuous,Pronated
Ring Feet Elevated Archer Row,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,Supine,Double Arm,Alternating,Neutral
Ring Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral
Ring Chest Fly,Intermediate,Chest,Pectoralis Major,Anterior Deltoids,Biceps Brachii,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral
Double Kettlebell Feet Elevated Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,Prone,Double Arm,Continuous,Neutral
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Half Kneeling,Single Arm,Continuous,Bottoms Up
Parallette Alternating Shoulder Tap Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,Prone,Double Arm,Alternating,Neutral
Parallette Dive Bomber Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Barbell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Single Leg Supported,Double Arm,Continuous,Pronated
Barbell Back Rack Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,Single Leg Supported,Double Arm,Continuous,Pronated
Single Arm Suspension Contralateral Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,Single Leg Standing,Single Arm,Continuous,Neutral
Barbell Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Barbell,Standing,Double Arm,Continuous,Pronated
Bodyweight Dragon Flag,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight,Supine,Double Arm,Continuous,Pronated
Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Single Arm,Continuous,Neutral
Bodyweight Dive Bomber Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Bodyweight,Prone,Double Arm,Continuous,Flat Palm
Barbell Staggered Stance Push Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,Staggered Stance,Double Arm,Continuous,Pronated
Parallette Full Planche,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Double Dumbbell Renegade Row to Push Up,Intermediate,Back,Latissimus Dorsi,,,Dumbbell,Prone,Double Arm,Alternating,Neutral
Ring Inverted Iron Cross,Grand Master,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral
Barbell Reverse Grip Front Raise,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,,Barbell,Standing,Double Arm,Continuous,Supinated
Ring Tuck Planche,Advanced,Abdominals,Rectus Abdominis,Biceps Brachii,,Gymnastic Rings,Other,Double Arm,Continuous,Neutral
Barbell Seated Reverse Grip Wrist Curl,Intermediate,Forearms,Brachioradialis,,,Barbell,Seated,Double Arm,Continuous,Pronated
Ring Full Planche,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,Prone,Double Arm,Continuous,Supinated
Alternating Single Arm Parallette Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,Prone,Single Arm,Alternating,Neutral
Ring Scapular Pull Up,Intermediate,Back,Latissimus Dorsi,Rhomboids,,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated
Ring Grip Full Planche,Grand Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral
Bodyweight Full Planche,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,Prone,Double Arm,Continuous,Flat Palm
Cable Quadruped Hip Abduction,Novice,Abductors,Gluteus Medius,Gluteus Minimus,,Cable,Quadruped,No Arms,Continuous,Flat Palm
Barbell Reverse Grip Bench Press,Intermediate,Chest,Pectoralis Major,,,Barbell,Supine,Double Arm,Continuous,Supinated
Double Kettlebell Turkish Get Up,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,Supine,Double Arm,Continuous,Pronated
Single Arm Kettlebell Rotational Overhead Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,Standing,Single Arm,Continuous,Neutral
Single Arm Kettlebell Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Kettlebell,Seated Floor,Single Arm,Continuous,Pronated
Parallette Straddle Planche,Expert,Abdominals,Rectus Abdominis,,,Parallette Bars,Prone,Double Arm,Continuous,Neutral
Single Arm Kettlebell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Kettlebell,Standing,Single Arm,Continuous,Pronated
Ring Straddle Planche,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,Prone,Double Arm,Continuous,Supinated
Double Kettlebell Renegade Row ,Intermediate,Back,Latissimus Dorsi,,,Kettlebell,Prone,Double Arm,Alternating,Neutral
Barbell Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Iliopsoas,Barbell,Supine,Double Arm,Continuous,Pronated
Plate Turkish Sit Up,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Iliopsoas,Weight Plate,Supine,Double Arm,Continuous,Neutral
Double Kettlebell Renegade Row to Push Up,Intermediate,Back,Latissimus Dorsi,,,Kettlebell,Prone,Double Arm,Alternating,Neutral
Single Arm Barbell Turkish Sit Up,Advanced,Abdominals,Rectus Abdominis,Anterior Deltoids,Iliopsoas,Barbell,Supine,Single Arm,Continuous,Pronated
Dumbbell Crush Grip Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Erector Spinae,Dumbbell,Standing,Double Arm,Continuous,Crush Grip
Single Arm Kettlebell Half Kneeling Contralateral Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Half Kneeling,Single Arm,Continuous,Pronated
Double Kettlebell Knee Over Toe Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Pronated
Double Kettlebell Bottoms Up Knee Over Toe Split Squat Thruster,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Knee Over Toe Split Squat,Double Arm,Continuous,Bottoms Up
Single Arm Kettlebell Bottoms Up Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Kettlebell,Seated Floor,Single Arm,Continuous,Bottoms Up
Double Kettlebell Bottoms Up Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Kettlebell,Seated Floor,Double Arm,Continuous,Bottoms Up
Double Kettlebell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Kettlebell,Standing,Double Arm,Continuous,Pronated
Alternating Double Kettlebell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Kettlebell,Standing,Double Arm,Alternating,Pronated
Double Kettlebell Seesaw Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Kettlebell,Standing,Double Arm,Alternating,Pronated
Dumbbell Crush Grip Hollow Body Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,,Dumbbell,Supine,Double Arm,Continuous,Crush Grip
Double Kettlebell Bottoms Up Seesaw Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up
Parallette Crow Pose,Intermediate,Abdominals,Rectus Abdominis,,,Parallette Bars,Inverted,Double Arm,Continuous,Neutral
Double Kettlebell Bottoms Up Seesaw Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Kettlebell,Seated Floor,Double Arm,Alternating,Bottoms Up
Suspension Single Leg Standing Bent Knee Reverse Fly,Intermediate,Shoulders,Posterior Deltoids,,,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral
Kettlebell Bottoms Up Horn Grip Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,Single Leg Supported,Double Arm,Continuous,Bottoms Up Horn Grip
Double Kettlebell Snatch to Overhead Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Standing,Double Arm,Continuous,Pronated
Suspension Single Leg Standing Bent Knee Y Raise,Intermediate,Shoulders,Posterior Deltoids,,,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Suspension Single Leg Standing Bent Knee Face Pull,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Single Arm Kettlebell Half Kneeling Dead Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Kettlebell,Half Kneeling,Single Arm,Continuous,Neutral
Barbell Overhead March,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Barbell,March,Double Arm,Continuous,Pronated
Single Arm Barbell Overhead March,Advanced,Hip Flexors,Iliopsoas,Rectus Abdominis,Gluteus Medius,Barbell,March,Single Arm,Continuous,Pronated
Single Arm Kettlebell Half Kneeling Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,Half Kneeling,Single Arm,Continuous,Neutral
Single Arm Kettlebell Half Kneeling Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,Half Kneeling,Single Arm,Continuous,Pronated
Double Kettlebell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Kettlebell,Standing,Double Arm,Continuous,Neutral
Slider Lateral Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Adductor Magnus,Sliders,Standing,No Arms,Continuous,No Grip
Kettlebell Bottoms Up Horn Grip Toe Balance Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,Toe Balance,Double Arm,Continuous,Bottoms Up Horn Grip
Double Kettlebell Dead Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,Standing,Double Arm,Continuous,Neutral
Double Kettlebell Dead Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Standing,Double Arm,Continuous,Neutral
Suspension Single Leg Standing Bent Knee Face Pull to Overhead Press,Intermediate,Shoulders,Posterior Deltoids,Infraspinatus,Teres Minor,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
Suspension Single Leg Standing Bent Knee Cuban Press,Intermediate,Shoulders,Posterior Deltoids,Triceps Brachii,,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated
